asset_i,asset_j,regime_low,regime_high,rho_low,rho_high,delta_rho_high_minus_low,ci_low,ci_high,p_value_boot,significant_ci_excludes_zero,n_low,n_high,B,ci_level,q_value_bh,significant_bh_q05,n_tests_bh,bootstrap_method,block_length
us_treasuries,cash,0,1,0.027195061481307365,0.20338611587436575,0.17619105439305838,0.09961104846095335,0.24661277138069637,0.0,True,5439,788,10000,0.95,0.0,True,15,stationary_block,78
world_equities,us_treasuries,0,1,0.13098687437038428,-0.07290291331829549,-0.20388978768867977,-0.32605616790761155,-0.09172063065837258,0.0014,True,5439,788,10000,0.95,0.0105,True,15,stationary_block,78
world_equities,commodities,0,1,0.29437783865222666,0.4718086468871543,0.17743080823492763,0.055305512371130565,0.2674319955330181,0.008,True,5439,788,10000,0.95,0.033,True,15,stationary_block,78
ig_credit,cash,0,1,0.026880472622011025,0.1235925749918621,0.09671210236985107,0.024055094689199537,0.18346842957029968,0.0088,True,5439,788,10000,0.95,0.033,True,15,stationary_block,78
world_equities,cash,0,1,-0.03519051711284004,-0.19047077649446809,-0.15528025938162804,-0.23947855237662488,-0.020300162876536448,0.019,True,5439,788,10000,0.95,0.056999999999999995,False,15,stationary_block,78
cash,gold,0,1,0.011626897370802147,-0.061310757193408894,-0.07293765456421104,-0.1389628376072119,0.023175096287650954,0.118,False,5439,788,10000,0.95,0.295,False,15,stationary_block,78
us_treasuries,ig_credit,0,1,0.8727550348693595,0.8366108302571298,-0.03614420461222967,-0.078301993328362,0.010772417592678035,0.1384,False,5439,788,10000,0.95,0.2965714285714286,False,15,stationary_block,78
commodities,gold,0,1,0.4151829039495608,0.4664225735899938,0.05123966964043297,-0.02742436779859531,0.1156332820329568,0.1872,False,5439,788,10000,0.95,0.35100000000000003,False,15,stationary_block,78
commodities,cash,0,1,-0.04123069193058185,-0.10233897645370868,-0.06110828452312683,-0.13255372173681845,0.04467905082343409,0.249,False,5439,788,10000,0.95,0.415,False,15,stationary_block,78
us_treasuries,commodities,0,1,0.13996606258200378,0.0966787285946936,-0.043287333987310175,-0.11628951750255455,0.04099684806049796,0.3128,False,5439,788,10000,0.95,0.4692,False,15,stationary_block,78
world_equities,ig_credit,0,1,0.1660025170616407,0.10658020147621182,-0.05942231558542889,-0.2307401593200467,0.051651498549013374,0.356,False,5439,788,10000,0.95,0.4854545454545454,False,15,stationary_block,78
ig_credit,commodities,0,1,0.13275214136112387,0.162991566652801,0.03023942529167714,-0.047604481232937694,0.09477742246839366,0.4014,False,5439,788,10000,0.95,0.50175,False,15,stationary_block,78
ig_credit,gold,0,1,0.2515044731070464,0.2739803246210124,0.022475851513966028,-0.047244391680105136,0.0999137219693288,0.508,False,5439,788,10000,0.95,0.5861538461538461,False,15,stationary_block,78
us_treasuries,gold,0,1,0.25846616968528,0.252657665061026,-0.0058085046242540295,-0.0793486270917399,0.0878869477222068,0.9416,False,5439,788,10000,0.95,0.9514,False,15,stationary_block,78
world_equities,gold,0,1,0.3440274807794032,0.3441481217862443,0.00012064100684111567,-0.16065211348172434,0.11608436907666266,0.9514,False,5439,788,10000,0.95,0.9514,False,15,stationary_block,78
