tier,n_assets,added_asset,n_windows,K_mode,K_min,K_max,bic_mean,Neff_min_mean,K_match_rate,prob_corr_mean,prob_corr_min,n_unstable_windows
0,6,core,80,2,2,3,59351.92913015662,215.35728542844544,,,,0
1,7,us_equities,54,2,2,3,69300.85011900439,202.49574353518895,0.0,,,0
2,8,eu_equities,53,2,2,3,78675.40753165842,202.56568552523612,0.0,,,0
3,9,em_equities,53,2,2,3,87243.289012665,218.34005188411732,0.8301886792452831,0.9535742994807003,0.8681217802317892,9
4,10,gov_long,53,2,2,3,97186.12121727795,215.35773635231376,0.0,,,0
5,11,gov_short,50,2,2,3,110704.43311916613,218.7921375600312,1.0,0.9939428309852669,0.9939428309852669,0
6,12,inflation_linked,50,2,2,3,122054.36523619256,204.1938508025136,0.96,0.9753774236035676,0.6719003125346276,3
7,13,em_debt,50,2,2,3,134261.79531323825,165.25724188452944,1.0,0.9764573939212842,0.9753298908700028,0
8,14,real_estate,50,2,2,3,142640.09893582982,188.83865588328592,0.88,0.896741422582256,0.7933086796918101,6
9,15,energy,50,2,2,3,150603.49062676556,186.85437611844478,0.82,0.9141275976614301,0.8262724782752744,9
