Asset,Regime,N,Mean (%/yr),Volatility (%/yr),VaR(5%) (%),ES(5%) (%),Q5 (%),Q10 (%),Q25 (%)
Equities,R0,3129,8.8041,7.9232,-1.0982,-1.3774,-1.0982,-0.7874,-0.3426
Equities,R1,452,-58.2846,27.7362,-3.6733,-5.6006,-3.6733,-2.7154,-1.7932
Bonds,R0,3129,1.7763,4.4105,-0.6029,-0.7714,-0.6029,-0.4403,-0.2152
Bonds,R1,452,10.3036,8.4811,-1.1959,-1.5097,-1.1959,-0.8386,-0.3208
IG Credit,R0,3129,3.6447,3.5576,-0.4686,-0.6280,-0.4686,-0.3325,-0.1593
IG Credit,R1,452,-0.5432,7.6678,-1.0322,-1.5314,-1.0322,-0.7667,-0.3180
Commodities,R0,3129,4.5523,10.0206,-1.3430,-1.7857,-1.3430,-0.9881,-0.4891
Commodities,R1,452,-41.2546,21.5091,-3.2721,-4.3386,-3.2721,-2.5357,-1.4031
Cash,R0,3129,1.7810,0.1351,0.0049,-0.0056,0.0049,0.0050,0.0052
Cash,R1,452,1.2689,0.1909,-0.0057,-0.0253,-0.0057,-0.0052,0.0050
Gold,R0,3129,10.6497,22.1279,-2.9324,-3.6700,-2.9324,-2.2715,-1.1132
Gold,R1,452,-45.1063,58.0451,-7.4350,-10.8101,-7.4350,-6.3660,-3.6677
