Asset	Regime	N	Mean (%/yr)	Volatility (%/yr)	VaR(5%) (%)	ES(5%) (%)	Q5 (%)	Q10 (%)	Q25 (%)
Equities	R0	3129	8.80	7.92	-1.10	-1.38	-1.10	-0.79	-0.34
	R1	452	-58.28	27.74	-3.67	-5.60	-3.67	-2.72	-1.79
Bonds	R0	3129	1.78	4.41	-0.60	-0.77	-0.60	-0.44	-0.22
	R1	452	10.30	8.48	-1.20	-1.51	-1.20	-0.84	-0.32
IG Credit	R0	3129	3.64	3.56	-0.47	-0.63	-0.47	-0.33	-0.16
	R1	452	-0.54	7.67	-1.03	-1.53	-1.03	-0.77	-0.32
Commodities	R0	3129	4.55	10.02	-1.34	-1.79	-1.34	-0.99	-0.49
	R1	452	-41.25	21.51	-3.27	-4.34	-3.27	-2.54	-1.40
Cash	R0	3129	1.78	0.14	0.00	-0.01	0.00	0.01	0.01
	R1	452	1.27	0.19	-0.01	-0.03	-0.01	-0.01	0.00
Gold	R0	3129	10.65	22.13	-2.93	-3.67	-2.93	-2.27	-1.11
	R1	452	-45.11	58.05	-7.44	-10.81	-7.44	-6.37	-3.67
