Asset i,Asset j,Regime (low),Regime (high),ρ (low),ρ (high),Δρ (high - low),CI lower,CI upper,p-value,Sig.,n (low),n (high)
Govt Bonds,Cash,0,1,0.027,0.203,0.176,0.109,0.245,<0.001,***,5439,788
World Eq.,Commodities,0,1,0.294,0.472,0.177,0.112,0.242,<0.001,***,5439,788
World Eq.,Cash,0,1,-0.035,-0.19,-0.155,-0.232,-0.076,<0.001,***,5439,788
World Eq.,Govt Bonds,0,1,0.131,-0.073,-0.204,-0.281,-0.125,<0.001,***,5439,788
Govt Bonds,IG Credit,0,1,0.873,0.837,-0.036,-0.071,-0.005,0.016,**,5439,788
IG Credit,Cash,0,1,0.027,0.124,0.097,0.015,0.182,0.020,**,5439,788
Commodities,Gold,0,1,0.415,0.466,0.051,-0.012,0.112,0.108,-,5439,788
Cash,Gold,0,1,0.012,-0.061,-0.073,-0.152,0.016,0.110,-,5439,788
Commodities,Cash,0,1,-0.041,-0.102,-0.061,-0.138,0.031,0.152,-,5439,788
World Eq.,IG Credit,0,1,0.166,0.107,-0.059,-0.151,0.027,0.184,-,5439,788
Govt Bonds,Commodities,0,1,0.14,0.097,-0.043,-0.128,0.039,0.294,-,5439,788
IG Credit,Commodities,0,1,0.133,0.163,0.03,-0.053,0.111,0.492,-,5439,788
IG Credit,Gold,0,1,0.252,0.274,0.022,-0.061,0.105,0.548,-,5439,788
Govt Bonds,Gold,0,1,0.258,0.253,-0.006,-0.079,0.066,0.942,-,5439,788
World Eq.,Gold,0,1,0.344,0.344,0.0,-0.087,0.077,0.982,-,5439,788
