Asset i	Asset j	Regime (low)	Regime (high)	ρ (low)	ρ (high)	Δρ (high - low)	CI lower	CI upper	p-value	q-value (BH)	Sig.	n (low)	n (high)
Govt Bonds	Cash	0	1	0.027	0.203	0.176	0.100	0.247	<0.001	<0.001	***	5439	788
World Eq.	Govt Bonds	0	1	0.131	-0.073	-0.204	-0.326	-0.092	0.001	0.011	**	5439	788
World Eq.	Commodities	0	1	0.294	0.472	0.177	0.055	0.267	0.008	0.033	**	5439	788
IG Credit	Cash	0	1	0.027	0.124	0.097	0.024	0.183	0.009	0.033	**	5439	788
World Eq.	Cash	0	1	-0.035	-0.190	-0.155	-0.239	-0.020	0.019	0.057	*	5439	788
Cash	Gold	0	1	0.012	-0.061	-0.073	-0.139	0.023	0.118	0.295	-	5439	788
Govt Bonds	IG Credit	0	1	0.873	0.837	-0.036	-0.078	0.011	0.138	0.297	-	5439	788
Commodities	Gold	0	1	0.415	0.466	0.051	-0.027	0.116	0.187	0.351	-	5439	788
Commodities	Cash	0	1	-0.041	-0.102	-0.061	-0.133	0.045	0.249	0.415	-	5439	788
Govt Bonds	Commodities	0	1	0.140	0.097	-0.043	-0.116	0.041	0.313	0.469	-	5439	788
World Eq.	IG Credit	0	1	0.166	0.107	-0.059	-0.231	0.052	0.356	0.485	-	5439	788
IG Credit	Commodities	0	1	0.133	0.163	0.030	-0.048	0.095	0.401	0.502	-	5439	788
IG Credit	Gold	0	1	0.252	0.274	0.022	-0.047	0.100	0.508	0.586	-	5439	788
Govt Bonds	Gold	0	1	0.258	0.253	-0.006	-0.079	0.088	0.942	0.951	-	5439	788
World Eq.	Gold	0	1	0.344	0.344	0.000	-0.161	0.116	0.951	0.951	-	5439	788
