Tier	N Assets	Added Asset	Windows	K (Mode)	K Range	K Match Rate	Prob Corr (Mean)	Prob Corr (Min)	Unstable Windows	Neff Min (Mean)	BIC (Mean)
0	6	Core	80	2	2-3	-	-	-	0	215.4	59,352
1	7	US Equities	54	2	2-3	0.0%	-	-	0	202.5	69,301
2	8	EU Equities	53	2	2-3	0.0%	-	-	0	202.6	78,675
3	9	EM Equities	53	2	2-3	83.0%	0.954	0.868	9	218.3	87,243
4	10	Gov Long	53	2	2-3	0.0%	-	-	0	215.4	97,186
5	11	Gov Short	50	2	2-3	100.0%	0.994	0.994	0	218.8	110,704
6	12	Inflation-Linked	50	2	2-3	96.0%	0.975	0.672	3	204.2	122,054
7	13	EM Debt	50	2	2-3	100.0%	0.976	0.975	0	165.3	134,262
8	14	Real Estate	50	2	2-3	88.0%	0.897	0.793	6	188.8	142,640
9	15	Energy	50	2	2-3	82.0%	0.914	0.826	9	186.9	150,603
